Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
What is the name of Nigeria’s traditional military post established for the protection of the empire in pre-colonial times?,hard,Eemesi,Eemesi,Ijebu,Ibeju,Ibauku
The city known as the ‘Trunk B’ capital of Nigeria due to British colonial administration is?,medium,Calabar,Lagos,Calabar,Ibadan,Abuja
Nollywood is to Nigeria as _____ is to the USA.,easy,Hollywood,Bollywood,Hollywood,Mollywood,Lollywood
Which empire in Nigerian history was renowned for its bronze casting?,hard,Benin Empire,Oyo Empire,Benin Empire,Kanem-Bornu Empire,Songhai Empire
What was the long metallic staff with a human face called in Benin history?,medium,Ukhurhe,Oba's Ruler,Ukhurhe,Idia,Ikenga
The infamous 1967-1970 Biafran region sought separation from Nigeria under whose leadership?,easy,Ojukwu,Ojukwu,Gowon,Sardauna,Akintola
Fill in the blank: _______ is known as the 'African Giant' in the Afrobeats genre.,easy,A,A. Burna Boy,B. Wizkid,C. Davido,D. Tiwa Savage
Who won the Best Actress in a lead role (Yoruba) at the 2009 Best of Nollywood Awards?,medium,C,A. Ini Edo,B. Rita Dominic,C. Omotola Jalade,D. Bhaira McNwizu
"Identify the movie star: Dunno, an actor in dramas and Olu Jacobs's frequent collaborator.",easy,D,A. Kanayo O. Kanayo,B. Pete Edochie,C. Ramsey Nouah,D. Richard Mofe-Damijo
Which Nollywood movie was directed by Izu Ojukwu and won acclaim?,medium,A,A. 76,B. Half of a Yellow Sun,C. October 1,D. The Figurine
Mercy Johnson featured prominently in which Nollywood genre?,easy,D,A. Comedy,B. Thriller,C. Action,D. Drama
Choose the Nigerian filmmaker known for directing 'Jeta Amata':,medium,C,A. Kunle Afolayan,B. Tunde Kelani,C. Jeta Amata,D. Izu Ojukwu
Who emerged as the 'Radio Personality of the Year' at a Nigerian award event?,medium,B,A. Tosyn Bucknor,B. Dan Foster,C. Freeze,D. Mo Abudu
"Which Nigerian city is renowned for its film industry, often referred to as Nollywood?",easy,B,A. Abuja,B. Lagos,C. Ibadan,D. Enugu
Which of these is a bone found in the human arm?,easy,C,A. Femur,B. Tibia,C. Humerus,D. Pelvis
The 'Best of Nollywood Awards' first took place in which year?,medium,B,A. 2007,B. 2009,C. 2011,D. 2013
What is the name of a well-known Nigerian female director and producer?,hard,A,A. Mo Abudu,B. Izu Ojukwu,C. Kunle Afolayan,D. Nse Ikpe-Etim
Identify the year when 'Nigeria and the Biafran conflict' ended.,medium,A,A. 1970,B. 1975,C. 1980,D. 1967
Chimamanda Ngozi Adichie is celebrated for her work in which literary genre?,medium,B,A. Poetry,B. Novels,C. Plays,D. Short stories
Which Nigerian album was prominently released by Wizkid?,easy,D,A. Superstar,B. Ghetto Love,C. Mama Africa,D. Made in Lagos
Tunde Kelani is a notable figure in what aspect of the Nigerian film industry?,medium,B,A. Acting,B. Directing,C. Music,D. Screenwriting
Identify the founding year of Nollywood as a prominent film industry.,hard,B,A. Late 1980s,B. Early 1990s,C. Mid-1970s,D. 2000
Fill in the blank: _______ is a popular Nigerian dish known for its spicy rice base.,easy,A,A. Jollof Rice,B. Suya,C. Pounded Yam,D. Egusi Soup
Which Nigerian city hosted the Best of Nollywood Awards multiple times?,medium,A,A. Lagos,B. Abuja,C. Benin City,D. Port Harcourt
Mercy Johnson starred in which notable Nigerian movie?,medium,B,A. 30 Days in Atlanta,B. The Maid,C. Half of a Yellow Sun,D. Gangs of Lagos
Who won the 'Best Director' award at the 2009 Best of Nollywood Awards?,medium,B,A. Izu Ojukwu,B. Daniel Ademinokan,C. Muyiwa Ademola,D. Funke Akindele
What's the name of Nigeria's first-ever democratic leader?,hard,A,A. Nnamdi Azikiwe,B. Obafemi Awolowo,C. Abdulsalami Abubakar,D. Olusegun Obasanjo
"The Igbo, Hausa, and Yoruba are known for being the three largest what in Nigeria?",easy,C,A. Cities,B. Rivers,C. Ethnic groups,D. Languages
Fill in the blank: _______ is known as the 'Queen of Afrobeats.',medium,A,A. Tiwa Savage,B. Simi,C. Yemi Alade,D. Asa
Which bone is commonly known as the 'collarbone'?,easy,A,A. Clavicle,B. Scapula,C. Humerus,D. Sternum
The 'Revelation of the Year (female)' award was given to whom at the 2009 Best of Nollywood Awards?,medium,A,A. Kehinde Bankole,B. Nse Ikpe-Etim,C. Kelechi Ohia,D. Bisi Komolafe
In which century did the Sokoto Caliphate reach its height?,hard,C,A. 14th century,B. 16th century,C. 19th century,D. 20th century
Fill in the blank: The Nollywood film industry is the ______ largest in the world.,easy,C,A. First,B. Second,C. Third,D. Fourth
Which Nigerian traditional ruler is known as the custodian of Yoruba culture?,medium,B,A. Alaafin of Oyo,B. Ooni of Ife,C. Oba of Lagos,D. Obi of Onitsha
Fill in the blank: ______ is known as the king of Afrobeats.,easy,B,A. Wizkid,B. Fela Kuti,C. Burna Boy,D. Davido
Which Nollywood actress is often called the 'Queen of Nollywood'?,easy,A,A. Genevieve Nnaji,B. Mercy Johnson,C. Ini Edo,D. Omotola Jalade
Identify the hit single released by Burna Boy in 2018.,medium,A,A. Ye,B. Gbona,C. Anybody,D. Killin Dem
The movie 'Living in Bondage' is credited with kickstarting which film industry?,medium,C,A. Bollywood,B. Hollywood,C. Nollywood,D. Lollywood
Herbert Macaulay was a prominent figure in Nigerian history known for what?,medium,A,A. Politics,B. Medicine,C. Arts,D. Sports
Complete the phrase: The 2012 hit song 'Oliver Twist' was by ______.,easy,B,A. 2Baba,B. D'banj,C. Flavour,D. 9ice
Who played the role of Eniola Salami in 'King of Boys'?,medium,A,A. Sola Sobowale,B. Funke Akindele,C. Kate Henshaw,D. Rita Dominic
Which Nigerian historic event is known as the 'Nigerian Civil War'?,medium,A,A. Biafran War,B. Kano Riot,C. Aba Women's Riot,D. Agbekoya Revolt
Davido's breakout hit in 2011 was titled what?,easy,B,A. Assurance,B. Dami Duro,C. Fall,D. Skelewu
Which Nollywood movie broke box office records in 2016?,medium,A,A. The Wedding Party,B. October 1,C. 76,D. Lionheart
An important figure in pre-colonial Nigeria was Jaja of Opobo. What was he known for?,hard,B,A. Medicine,B. Trade,C. Arts,D. Military
The human body's natural pacemaker is located in which organ?,medium,C,A. Brain,B. Kidneys,C. Heart,D. Liver
Fill in the blank: Tiwa Savage's famous song from 2013 is ______.,easy,C,A. Lova Lova,B. All Over,C. Eminado,D. Ma Lo
The slang term 'Ginger' popularized by artists like Wizkid means what?,easy,A,A. Excite,B. Drive,C. Betray,D. Dance
A title of a Nigerian movie is often referred to as 'AMVCA'. What does this acronym stand for?,hard,B,A. Arts and Media Ventures Cinematic Award,B. African Magic Viewers Choice Award,C. African Movies Visuals and Content Award,D. Africa's Most Viewed Cinema Award
Which river did Mungo Park explore in Nigeria?,medium,A,A. Niger River,B. Benue River,C. Osun River,D. Ogun River
Name the connective tissue that connects muscle to bone.,medium,C,A. Ligament,B. Cartilage,C. Tendon,D. Fascia
Olamide's music genre is primarily known as what?,easy,C,A. Juju,B. Afrobeat,C. Hip-hop,D. Highlife
Genevieve Nnaji won her first AMVCA in which year?,medium,B,A. 2013,B. 2014,C. 2016,D. 2015
The Benin Kingdom is renowned for its unique art style. What is it called?,medium,B,A. Terracotta,B. Bronze work,C. Wood carving,D. Textile
Flavour's music hits often blend highlife with which genre?,medium,A,A. R&B,B. Gospel,C. Rap,D. Reggae
"Complete the title: 'Living in ______', a popular Nigerian movie.",easy,B,A. Stress,B. Bondage,C. Victory,D. Harmony
Which Nigerian event is Uthman Dan Fodio associated with?,hard,B,A. Aba Women's Riot,B. Sokoto Caliphate,C. Nigerian Civil War,D. Niger Delta Crisis
Which white blood cells type is crucial to the immune response?,hard,C,A. Platelets,B. Erythrocytes,C. Neutrophils,D. Myocytes
The song 'Joro' was a major hit for which Nigerian artist?,easy,C,A. Burna Boy,B. Davido,C. Wizkid,D. Olamide
Who played the male lead in 'The Wedding Party'?,easy,A,A. Banky W,B. RMD,C. Alexx Ekubo,D. Jim Iyke
The Berlin Conference of 1884 is significant in African history for what reason?,hard,A,A. Colonization of Africa,B. The End of Slavery,C. Establishment of the African Union,D. Formation of ECOWAS
Which part of the human body contains the larynx?,easy,B,A. Head,B. Throat,C. Chest,D. Abdomen
Yemi Alade gained fame with her song titled what?,easy,A,A. Johnny,B. Ferrari,C. Kissing,D. Na Gode
What is the primary language of instruction in Nollywood films?,easy,C,A. Yoruba,B. Igbo,C. English,D. Hausa
What was the significance of Nigeria's Independence Day in 1960?,medium,B,A. Nigeria gained independence from French,B. Nigeria gained independence from Britain,C. Establishment of ECOWAS,D. Formation of the African Union
Name the smallest bone in the human body.,hard,A,A. Stapes,B. Metacarpal,C. Scapula,D. Coccyx
Cuppy is known in Nigeria primarily for what?,easy,C,A. Acting,B. Singing,C. DJing,D. Dancing
The Kannywood industry primarily produces films in which language?,medium,C,A. Igbo,B. Yoruba,C. Hausa,D. English
The Aburi Accord was held in which country?,hard,A,A. Ghana,B. Nigeria,C. South Africa,D. Kenya
Heme is a component of which blood-related molecule?,medium,A,A. Hemoglobin,B. Insulin,C. Urea,D. Glucose
"In Nigeria, who is often referred to as 'Mummy G.O.'?",medium,D,A. Ngozi Okonjo-Iweala,B. Folorunsho Alakija,C. Funmilayo Ransome-Kuti,D. Funke Akindele
Which Nigerian leader declared the country a 'Federal Republic'?,medium,A,A. Nnamdi Azikiwe,B. Obafemi Awolowo,C. Tafawa Balewa,D. Yakubu Gowon
Oxygenated blood is delivered from the lungs to which part of the heart?,medium,A,A. Left Atrium,B. Right Atrium,C. Left Ventricle,D. Right Ventricle
P-Square was a famous music duo formed by which pair of twins?,easy,A,A. Paul and Peter,B. Andrew and Alfred,C. Samuel and Simon,D. Tim and Tom
The film 'Lionheart' was directed by whom?,easy,B,A. Kunle Afolayan,B. Genevieve Nnaji,C. Tunde Kelani,D. Lancelot Imasuen
During which period did the British amalgamate Nigeria?,medium,C,A. 1884-1885,B. 1900-1910,C. 1914-1960,D. 1963-1970
The average resting heart rate for an adult is approximately how many beats per minute?,easy,B,A. 40-60,B. 60-100,C. 100-120,D. 120-160
Burna Boy's music is most closely associated with which genre?,easy,B,A. Gospel,B. Afrobeats,C. Jazz,D. Pop
"Nollywood's first movie, 'Living in Bondage', had its principal language in what?",medium,B,A. English,B. Igbo,C. Yoruba,D. Pidgin
"The Nigerian city known for its bronze sculptures, which are known worldwide, is what?",hard,B,A. Ife,B. Benin,C. Nok,D. Zaria
What part of the brain controls voluntary muscle movements?,medium,B,A. Thalamus,B. Cerebrum,C. Pons,D. Medulla
Mr Eazi is renowned for pioneering which music style?,hard,C,A. Juju,B. Highlife,C. Banku Music,D. Fuji
Which is an iconic line by Nollywood actor Pete Edochie?,medium,A,A. 'You are a goat',"B. 'Arise, o compatriots'",C. 'This is serious',D. 'How can you say this'
What was a key development in Nigeria during the 1993 elections?,medium,D,A. Military coup,B. Establishment of the Senate,C. Return to civilian rule,D. The annulment of the elections
Glucose molecule storage predominantly occurs in which organ?,medium,C,A. Stomach,B. Lungs,C. Liver,D. Kidneys
Which Nigerian artist is famously known as 'African Giant'?,easy,A,A. Burna Boy,B. 2Baba,C. Olamide,D. Rema
The Nigerian Television Authority (NTA) was established in which year?,hard,C,A. 1959,B. 1963,C. 1977,D. 1980
"During Nigeria's colonial era, what was a primary export?",easy,B,A. Technology,B. Cocoa,C. Automobiles,D. Iron
The average adult skeletal system contains how many bones?,medium,A,A. 206,B. 308,C. 256,D. 180
"Who collaborated with Davido on the track ""Blow My Mind""?",easy,A,A. Chris Brown,B. Cardi B,C. Stormzy,D. Drake
"Which movie eventually broke the box office records set by ""The Wedding Party""?",medium,B,A. Lionheart,B. Omo Ghetto: The Saga,C. October 1,D. 30 Days in Atlanta
Which significant Nigerian historical figure became the first Prime Minister?,medium,B,A. Nnamdi Azikiwe,B. Tafawa Balewa,C. Ahmadu Bello,D. Obafemi Awolowo
Insulin is produced in which part of the human body?,hard,B,A. Liver,B. Pancreas,C. Stomach,D. Gallbladder
Which Afrobeat legend is known for his song 'Water no get enemy'?,medium,B,A. Burna Boy,B. Fela Kuti,C. Wizkid,D. 2Baba
The 2009 Best of Nollywood Awards celebrated which industry?,medium,B,A. Music,B. Film,C. Literature,D. Sports
Nigeria operated under which system of government post-independence?,medium,C,A. Monarchy,B. Republic,C. Parliamentary,D. Confederal
The longest muscle in the human body is known as what?,medium,A,A. Sartorius,B. Gluteus maximus,C. Deltoid,D. Biceps
Which Nollywood film was Nigeria's submission for the Best International Feature Film at the 2020 Oscars?,hard,B,A. The Milkmaid,B. Lionheart,C. Òlòtūré,D. King of Boys
What type of muscle is found in the walls of the heart?,easy,C,A. Skeletal,B. Smooth,C. Cardiac,D. Voluntary
"At the Nollywood Movies Awards 2012, who was awarded the Best actor in a leading role?",easy,C,A. Junior Pope,B. Mahmoud Ali Balogun,C. Joseph Benjamin,D. Ramsey Nouah
Who won the Best actor in a supporting role at the 2012 Nollywood Movies Awards?,easy,A,A. Junior Pope,B. Kenneth Okonkwo,C. John Okafor,D. Desmond Elliot
Which award did Mahmoud Ali Balogun win at the 2012 Nollywood Movies Awards?,easy,C,A. Best Director,B. Best Cinematography,C. Best Movie,D. Best Screenplay
Identify the location of the 2012 Nollywood Movies Awards event.,easy,C,A. Abuja,B. Port Harcourt,C. Lagos,D. Enugu
Which platform covered the Nollywood Movies Award 2012 extensively?,medium,B,A. Netflix,B. IROKtv,C. Africa Magic,D. Nollywood TV
The 2012 Nollywood Movies Awards was held in which month?,easy,B,A. May,B. June,C. July,D. August
Which actor is often associated with the phrase 'Keep roking'?,medium,B,A. Chiwetalu Agu,B. Junior Pope,C. Joseph Benjamin,D. Ramsey Nouah
"At the Nollywood Movies Awards 2012, which actor was not mentioned as a winner?",medium,D,A. Junior Pope,B. Joseph Benjamin,C. Mahmoud Ali Balogun,D. Ramsey Nouah
Which of these personalities is primarily associated with Afrobeats music?,medium,A,A. Burna Boy,B. Genevieve Nnaji,C. Femi Kuti,D. Ali Nuhu
Complete the anatomy statement: The human heart is divided into how many chambers?,easy,B,A. 2,B. 4,C. 3,D. 5
Nigeria gained independence from colonial rule in which year?,easy,B,A. 1950,B. 1960,C. 1970,D. 1980
Which Lagos-based area is often referred to as the 'Nollywood capital of Nigeria'?,hard,B,A. Ikeja,B. Surulere,C. Victoria Island,D. Lekki
The movie 'Living in Bondage' is significant in Nigerian cinema for what reason?,hard,B,A. Having the most actors,B. Starting the Nollywood revolution,C. Winning an Oscar,D. Most costly production
The epidermis is the outer layer of which organ?,easy,C,A. Heart,B. Liver,C. Skin,D. Brain
Which language is primarily spoken in Nollywood films?,medium,D,A. Yoruba,B. Hausa,C. Igbo,D. English
The Nigerian movie industry is majorly known by what name?,easy,B,A. Bollywood,B. Nollywood,C. Hollywood,D. Ghollywood
What structure is considered the financial capital of Lagos?,medium,A,A. Victoria Island,B. Lekki,C. Ajah,D. Ikeja
The River Niger's primary feature distinguishes Nigeria's geography significantly. What is it?,hard,A,A. It creates the country's largest delta,B. It is the longest river,C. It flows into the Atlantic Ocean,D. It has the most tributaries
Who is often credited with popularizing Afrobeats globally?,medium,C,A. Tiwa Savage,B. Davido,C. Wizkid,D. D'banj
Who was the first Nigerian film actor to win an international award?,hard,B,A. Olu Jacobs,B. Genevieve Nnaji,C. Richard Mofe-Damijo,D. Pete Edochie
Which versatile Nigerian artist is known as 'The African Giant'?,medium,C,A. Olamide,B. Wizkid,C. Burna Boy,D. 2Baba
"What is the main ingredient in Jollof Rice, a popular Nigerian dish?",easy,B,A. Chicken,B. Rice,C. Plantain,D. Beans
Which prominent Nigerian leader declared independence from British rule?,hard,C,A. Herbert Macaulay,B. Nnamdi Azikiwe,C. Tafawa Balewa,D. Obafemi Awolowo
